A00;Certain infectious and parasitic diseases
A01;Certain infectious and parasitic diseases
A02;Certain infectious and parasitic diseases
A03;Certain infectious and parasitic diseases
A04;Certain infectious and parasitic diseases
A05;Certain infectious and parasitic diseases
A06;Certain infectious and parasitic diseases
A07;Certain infectious and parasitic diseases
A08;Certain infectious and parasitic diseases
A09;Certain infectious and parasitic diseases
A10;Certain infectious and parasitic diseases
A11;Certain infectious and parasitic diseases
A12;Certain infectious and parasitic diseases
A13;Certain infectious and parasitic diseases
A14;Certain infectious and parasitic diseases
A15;Certain infectious and parasitic diseases
A16;Certain infectious and parasitic diseases
A17;Certain infectious and parasitic diseases
A18;Certain infectious and parasitic diseases
A19;Certain infectious and parasitic diseases
A20;Certain infectious and parasitic diseases
A21;Certain infectious and parasitic diseases
A22;Certain infectious and parasitic diseases
A23;Certain infectious and parasitic diseases
A24;Certain infectious and parasitic diseases
A25;Certain infectious and parasitic diseases
A26;Certain infectious and parasitic diseases
A27;Certain infectious and parasitic diseases
A28;Certain infectious and parasitic diseases
A29;Certain infectious and parasitic diseases
A30;Certain infectious and parasitic diseases
A31;Certain infectious and parasitic diseases
A32;Certain infectious and parasitic diseases
A33;Certain infectious and parasitic diseases
A34;Certain infectious and parasitic diseases
A35;Certain infectious and parasitic diseases
A36;Certain infectious and parasitic diseases
A37;Certain infectious and parasitic diseases
A38;Certain infectious and parasitic diseases
A39;Certain infectious and parasitic diseases
A40;Certain infectious and parasitic diseases
A41;Certain infectious and parasitic diseases
A42;Certain infectious and parasitic diseases
A43;Certain infectious and parasitic diseases
A44;Certain infectious and parasitic diseases
A45;Certain infectious and parasitic diseases
A46;Certain infectious and parasitic diseases
A47;Certain infectious and parasitic diseases
A48;Certain infectious and parasitic diseases
A49;Certain infectious and parasitic diseases
A50;Certain infectious and parasitic diseases
A51;Certain infectious and parasitic diseases
A52;Certain infectious and parasitic diseases
A53;Certain infectious and parasitic diseases
A54;Certain infectious and parasitic diseases
A55;Certain infectious and parasitic diseases
A56;Certain infectious and parasitic diseases
A57;Certain infectious and parasitic diseases
A58;Certain infectious and parasitic diseases
A59;Certain infectious and parasitic diseases
A60;Certain infectious and parasitic diseases
A61;Certain infectious and parasitic diseases
A62;Certain infectious and parasitic diseases
A63;Certain infectious and parasitic diseases
A64;Certain infectious and parasitic diseases
A65;Certain infectious and parasitic diseases
A66;Certain infectious and parasitic diseases
A67;Certain infectious and parasitic diseases
A68;Certain infectious and parasitic diseases
A69;Certain infectious and parasitic diseases
A70;Certain infectious and parasitic diseases
A71;Certain infectious and parasitic diseases
A72;Certain infectious and parasitic diseases
A73;Certain infectious and parasitic diseases
A74;Certain infectious and parasitic diseases
A75;Certain infectious and parasitic diseases
A76;Certain infectious and parasitic diseases
A77;Certain infectious and parasitic diseases
A78;Certain infectious and parasitic diseases
A79;Certain infectious and parasitic diseases
A80;Certain infectious and parasitic diseases
A81;Certain infectious and parasitic diseases
A82;Certain infectious and parasitic diseases
A83;Certain infectious and parasitic diseases
A84;Certain infectious and parasitic diseases
A85;Certain infectious and parasitic diseases
A86;Certain infectious and parasitic diseases
A87;Certain infectious and parasitic diseases
A88;Certain infectious and parasitic diseases
A89;Certain infectious and parasitic diseases
A90;Certain infectious and parasitic diseases
A91;Certain infectious and parasitic diseases
A92;Certain infectious and parasitic diseases
A93;Certain infectious and parasitic diseases
A94;Certain infectious and parasitic diseases
A95;Certain infectious and parasitic diseases
A96;Certain infectious and parasitic diseases
A97;Certain infectious and parasitic diseases
A98;Certain infectious and parasitic diseases
A99;Certain infectious and parasitic diseases
A00;Cholera
A09;Diarrhoea and gastroenteritis of presumed infectious origin
A01;Other intestinal infectious diseases
A02;Other intestinal infectious diseases
A03;Other intestinal infectious diseases
A04;Other intestinal infectious diseases
A05;Other intestinal infectious diseases
A06;Other intestinal infectious diseases
A07;Other intestinal infectious diseases
A08;Other intestinal infectious diseases
A15;Respiratory tuberculosis
A16;Respiratory tuberculosis
A17;Other tuberculosis
A18;Other tuberculosis
A19;Other tuberculosis
A20;Plague
A33;Tetanus
A34;Tetanus
A35;Tetanus
A36;Diphtheria
A37;Whooping cough
A39;Meningococcal infection
A40;Septicaemia
A41;Septicaemia
A50;Infections with a predominantly sexual mode of transmission
A51;Infections with a predominantly sexual mode of transmission
A52;Infections with a predominantly sexual mode of transmission
A53;Infections with a predominantly sexual mode of transmission
A54;Infections with a predominantly sexual mode of transmission
A55;Infections with a predominantly sexual mode of transmission
A56;Infections with a predominantly sexual mode of transmission
A57;Infections with a predominantly sexual mode of transmission
A58;Infections with a predominantly sexual mode of transmission
A59;Infections with a predominantly sexual mode of transmission
A60;Infections with a predominantly sexual mode of transmission
A61;Infections with a predominantly sexual mode of transmission
A62;Infections with a predominantly sexual mode of transmission
A63;Infections with a predominantly sexual mode of transmission
A64;Infections with a predominantly sexual mode of transmission
A80;Acute poliomyelitis
A82;Rabies
A95;Yellow fever
A90;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A91;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A92;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A93;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A94;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A96;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A97;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A98;Other arthropod-borne viral fevers and viral haemorrhagic fevers
A99;Other arthropod-borne viral fevers and viral haemorrhagic fevers
B05;Measles
B15;Viral hepatitis
B16;Viral hepatitis
B17;Viral hepatitis
B18;Viral hepatitis
B19;Viral hepatitis
B20;Human immunodeficiency virus [HIV] disease
B21;Human immunodeficiency virus [HIV] disease
B22;Human immunodeficiency virus [HIV] disease
B23;Human immunodeficiency virus [HIV] disease
B24;Human immunodeficiency virus [HIV] disease
B50;Malaria
B51;Malaria
B52;Malaria
B53;Malaria
B54;Malaria
B55;Leishmaniasis
B56;Trypanosomiasis
B57;Trypanosomiasis
B65;Schistosomiasis
A21;Remainder of certain infectious and parasitic diseases
A22;Remainder of certain infectious and parasitic diseases
A23;Remainder of certain infectious and parasitic diseases
A24;Remainder of certain infectious and parasitic diseases
A25;Remainder of certain infectious and parasitic diseases
A26;Remainder of certain infectious and parasitic diseases
A27;Remainder of certain infectious and parasitic diseases
A28;Remainder of certain infectious and parasitic diseases
A29;Remainder of certain infectious and parasitic diseases
A30;Remainder of certain infectious and parasitic diseases
A31;Remainder of certain infectious and parasitic diseases
A32;Remainder of certain infectious and parasitic diseases
A38;Remainder of certain infectious and parasitic diseases
A42;Remainder of certain infectious and parasitic diseases
A43;Remainder of certain infectious and parasitic diseases
A44;Remainder of certain infectious and parasitic diseases
A45;Remainder of certain infectious and parasitic diseases
A46;Remainder of certain infectious and parasitic diseases
A47;Remainder of certain infectious and parasitic diseases
A48;Remainder of certain infectious and parasitic diseases
A49;Remainder of certain infectious and parasitic diseases
A65;Remainder of certain infectious and parasitic diseases
A66;Remainder of certain infectious and parasitic diseases
A67;Remainder of certain infectious and parasitic diseases
A68;Remainder of certain infectious and parasitic diseases
A69;Remainder of certain infectious and parasitic diseases
A70;Remainder of certain infectious and parasitic diseases
A71;Remainder of certain infectious and parasitic diseases
A72;Remainder of certain infectious and parasitic diseases
A73;Remainder of certain infectious and parasitic diseases
A74;Remainder of certain infectious and parasitic diseases
A75;Remainder of certain infectious and parasitic diseases
A76;Remainder of certain infectious and parasitic diseases
A77;Remainder of certain infectious and parasitic diseases
A78;Remainder of certain infectious and parasitic diseases
A79;Remainder of certain infectious and parasitic diseases
A81;Remainder of certain infectious and parasitic diseases
A83;Remainder of certain infectious and parasitic diseases
A84;Remainder of certain infectious and parasitic diseases
A85;Remainder of certain infectious and parasitic diseases
A86;Remainder of certain infectious and parasitic diseases
A87;Remainder of certain infectious and parasitic diseases
A88;Remainder of certain infectious and parasitic diseases
A89;Remainder of certain infectious and parasitic diseases
B00;Remainder of certain infectious and parasitic diseases
B01;Remainder of certain infectious and parasitic diseases
B02;Remainder of certain infectious and parasitic diseases
B03;Remainder of certain infectious and parasitic diseases
B04;Remainder of certain infectious and parasitic diseases
B06;Remainder of certain infectious and parasitic diseases
B07;Remainder of certain infectious and parasitic diseases
B08;Remainder of certain infectious and parasitic diseases
B09;Remainder of certain infectious and parasitic diseases
B25;Remainder of certain infectious and parasitic diseases
B26;Remainder of certain infectious and parasitic diseases
B27;Remainder of certain infectious and parasitic diseases
B28;Remainder of certain infectious and parasitic diseases
B29;Remainder of certain infectious and parasitic diseases
B30;Remainder of certain infectious and parasitic diseases
B31;Remainder of certain infectious and parasitic diseases
B32;Remainder of certain infectious and parasitic diseases
B33;Remainder of certain infectious and parasitic diseases
B34;Remainder of certain infectious and parasitic diseases
B35;Remainder of certain infectious and parasitic diseases
B36;Remainder of certain infectious and parasitic diseases
B37;Remainder of certain infectious and parasitic diseases
B38;Remainder of certain infectious and parasitic diseases
B39;Remainder of certain infectious and parasitic diseases
B40;Remainder of certain infectious and parasitic diseases
B41;Remainder of certain infectious and parasitic diseases
B42;Remainder of certain infectious and parasitic diseases
B43;Remainder of certain infectious and parasitic diseases
B44;Remainder of certain infectious and parasitic diseases
B45;Remainder of certain infectious and parasitic diseases
B46;Remainder of certain infectious and parasitic diseases
B47;Remainder of certain infectious and parasitic diseases
B48;Remainder of certain infectious and parasitic diseases
B49;Remainder of certain infectious and parasitic diseases
B58;Remainder of certain infectious and parasitic diseases
B59;Remainder of certain infectious and parasitic diseases
B60;Remainder of certain infectious and parasitic diseases
B61;Remainder of certain infectious and parasitic diseases
B62;Remainder of certain infectious and parasitic diseases
B63;Remainder of certain infectious and parasitic diseases
B64;Remainder of certain infectious and parasitic diseases
B66;Remainder of certain infectious and parasitic diseases
B67;Remainder of certain infectious and parasitic diseases
B68;Remainder of certain infectious and parasitic diseases
B69;Remainder of certain infectious and parasitic diseases
B70;Remainder of certain infectious and parasitic diseases
B71;Remainder of certain infectious and parasitic diseases
B72;Remainder of certain infectious and parasitic diseases
B73;Remainder of certain infectious and parasitic diseases
B74;Remainder of certain infectious and parasitic diseases
B75;Remainder of certain infectious and parasitic diseases
B76;Remainder of certain infectious and parasitic diseases
B77;Remainder of certain infectious and parasitic diseases
B78;Remainder of certain infectious and parasitic diseases
B79;Remainder of certain infectious and parasitic diseases
B80;Remainder of certain infectious and parasitic diseases
B81;Remainder of certain infectious and parasitic diseases
B82;Remainder of certain infectious and parasitic diseases
B83;Remainder of certain infectious and parasitic diseases
B84;Remainder of certain infectious and parasitic diseases
B85;Remainder of certain infectious and parasitic diseases
B86;Remainder of certain infectious and parasitic diseases
B87;Remainder of certain infectious and parasitic diseases
B88;Remainder of certain infectious and parasitic diseases
